DistCode,District,College Code,College Name,OC,BCM,BC,MBC,SCA,SC,ST
3,COIMBATORE,2718,SRI KRISHNA COLLEGE OF ENGINEERING & TECHNOLOGY (AUTONOMOUS),,,,,,,
3,COIMBATORE,2722,SRI KRISHNA COLLEGE OF TECHNOLOGY (AUTONOMOUS),,,,,,,
3,COIMBATORE,2719,SRI RAMAKRISHNA ENGINEERING COLLEGE (AUTONOMOUS),,,,,,,
3,COIMBATORE,2725,SRI RAMAKRISHNA INSTITUTE OF TECHNOLOGY,,,,,,,
3,COIMBATORE,2342,SRI RANGANATHAR INSTITUTE OF ENGINEERING & TECHNOLOGY,,,,,,,
3,COIMBATORE,2727,SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,,,,,,,
3,COIMBATORE,2765,SRIGURU INSTITUTE OF TECHNOLOGY,,,,,,,
3,COIMBATORE,2360,SUGUNA COLLEGE OF ENGINEERING,,,,,,,
3,COIMBATORE,2721,TAMILNADU COLLEGE OF ENGINEERING,,,,,,,
3,COIMBATORE,2757,TEJAA SHAKTHI INSTITUTE OF TECHNOLOGY FOR WOMEN,,,,,,,
3,COIMBATORE,2761,UNITED INSTITUTE OF TECHNOLOGY,,,,,,,
3,COIMBATORE,2357,V.S.B. COLLEGE OF ENGINEERING TECHNICAL CAMPUS,,,,,,,
3,COIMBATORE,2368,VISHNU LAKSHMI COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
4,CUDDALORE,3425,C.K. COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
4,CUDDALORE,3822,DR.NAVALAR NEDUNCHEZHIYAN COLLEGE OF ENGINEERING,,,,,,,
4,CUDDALORE,3410,KRISHNASAMY COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
4,CUDDALORE,3843,M R K INSTITUTE OF TECHNOLOGY,,,,,,,
4,CUDDALORE,3860,St. ANNE'S COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
4,CUDDALORE,3019,UNIVERSITY COLLEGE OF ENGINEERING  PANRUTI,,,,,,,
5,DHARMAPURI,2369,GOVERNMENT COLLEGE OF ENGINEERING - DHARMAPURI,,,,,,,
5,DHARMAPURI,2640,JAYALAKSHMI INSTITUTE OF TECHNOLOGY,,,,,,,
5,DHARMAPURI,2606,JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
5,DHARMAPURI,2616,SAPTHAGIRI COLLEGE OF ENGINEERING,,,,,,,
5,DHARMAPURI,2683,SHREENIVASA ENGINEERING COLLEGE,,,,,,,
5,DHARMAPURI,2641,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY,,,,,,,
6,DINDIGUL,5540,ARINGER ANNA COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
6,DINDIGUL,5703,CHRISTIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
6,DINDIGUL,5537,JAINEE COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
6,DINDIGUL,5832,N P R COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
6,DINDIGUL,5910,PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
6,DINDIGUL,5913,R.V.S. COLLEGE OF ENGINEERING,,,,,,,
6,DINDIGUL,5862,R.V.S. SCHOOL OF ENGINEERING AND TECHNOLOGY,,,,,,,
6,DINDIGUL,5930,SBM COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
6,DINDIGUL,5720,SRI SUBRAMANYA COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
6,DINDIGUL,5530,SSM INSTITUTE OF ENGINEERING AND TECHNOLOGY,,,,,,,
6,DINDIGUL,5022,UNIVERSITY COLLEGE OF ENGINEERING  DINDIGUL,,,,,,,
6,DINDIGUL,5851,VEERAMMAL ENGINEERING COLLEGE,,,,,,,
7,ERODE,2332,AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
7,ERODE,2652,AL-AMEEN ENGINEERING COLLEGE,,,,,,,
7,ERODE,2702,BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS),,,,,,,
7,ERODE,2707,ERODE SENGUNTHAR ENGINEERING COLLEGE,,,,,,,
7,ERODE,2709,INSTITUTE OF ROAD AND TRANSPORT TECHNOLOGY,,,,,,,
7,ERODE,2758,J K K MUNIRAJAH COLLEGE OF TECHNOLOGY,,,,,,,
7,ERODE,2711,KONGU ENGINEERING COLLEGE (AUTONOMOUS),,,,,,,
7,ERODE,2713,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,,,,,,,
7,ERODE,2742,MAHARAJA ENGINEERING COLLEGE FOR WOMEN,,,,,,,
7,ERODE,2752,NANDHA COLLEGE OF TECHNOLOGY,,,,,,,
7,ERODE,2715,NANDHA ENGINEERING COLLEGE (AUTONOMOUS),,,,,,,
7,ERODE,2747,SHREE VENKATESHWARA HI-TECH ENGINEERING COLLEGE,,,,,,,
7,ERODE,2748,SURYA ENGINEERING COLLEGE,,,,,,,
7,ERODE,2723,VELALAR COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
7,ERODE,2337,VIDHYA MANDHIR INSTITUTE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1323,A.C.T. COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1233,ADHI COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1401,ADHIPARASAKTHI ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1316,AGNI COLLEGE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1331,AKSHEYAA COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1303,ANAND INSTITUTE OF HIGHER TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1133,ANNAI VEILANKANNI'S COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1230,APOLLO ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1455,APOLLO PRIYADARSHANAM INSTITUTE OF TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1201,ARIGNAR ANNA INSTITUTE OF SCIENCE AND TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1232,ARM COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1334,ARS COLLEGE OF ENGINEERING,,,,,,,
8,KANCHEEPURAM,1423,ASAN MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1435,BALAJI INSTITUTE OF ENGINEERING AND TECHNOLOGY,,,,,,,
8,KANCHEEPURAM,1444,CHENDU COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
