DistCode,District,College Code,College Name,Branch,OC,BCM,BC,MBC,SCA,SC,ST
2,CHENNAI,1509,MEENAKSHI COLLEGE OF ENGINEERING,MECHANICAL ENGINEERING,181.25,172.5,178.25,175.0,167.75,162.5,0.0
2,CHENNAI,1509,MEENAKSHI COLLEGE OF ENGINEERING,ELECTRONICS AND INSTRU ENGG.,176.5,168.25,172.0,161.25,0.0,147.75,0.0
2,CHENNAI,1509,MEENAKSHI COLLEGE OF ENGINEERING,INFORMATION TECHNOLOGY,176.0,171.25,172.5,163.0,0.0,137.75,0.0
2,CHENNAI,1509,MEENAKSHI COLLEGE OF ENGINEERING,ELECTRONICS AND COMMUNICATION ENGG.,183.0,175.75,180.25,174.25,148.5,163.75,0.0
2,CHENNAI,1509,MEENAKSHI COLLEGE OF ENGINEERING,ELECTRICAL AND ELECTRONICS ENGG.,179.0,172.25,176.5,167.25,129.75,158.75,0.0
2,CHENNAI,1509,MEENAKSHI COLLEGE OF ENGINEERING,CIVIL ENGINEERING,178.0,173.75,174.0,167.75,93.25,155.75,0.0
2,CHENNAI,1309,MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGG.,194.75,190.0,194.0,191.5,189.0,176.0,0.0
2,CHENNAI,1309,MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE,MECHANICAL ENGINEERING,194.0,193.0,192.5,192.0,162.5,182.75,0.0
2,CHENNAI,1309,MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE,INFORMATION TECHNOLOGY,191.75,187.75,190.5,186.25,143.25,164.5,0.0
2,CHENNAI,1309,MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE,ELECTRONICS AND COMMUNICATION ENGG.,194.25,191.5,192.75,191.25,159.25,177.0,152.5
2,CHENNAI,1309,MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE,ELECTRICAL AND ELECTRONICS ENGG.,193.0,191.75,192.25,190.25,170.5,180.0,114.25
2,CHENNAI,1309,MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE,CIVIL ENGINEERING,194.0,190.5,192.75,190.75,156.5,179.25,0.0
2,CHENNAI,2,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - ACT CAMPUS,TEXTILE TECHNOLOGY,194.75,192.25,194.0,192.75,186.25,184.75,166.25
2,CHENNAI,2,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - ACT CAMPUS,INDUSTRIAL BIO-TECHNOLOGY(SS),197.25,195.25,196.5,195.0,184.0,189.0,0.0
